country_of_bean_origin,cocoa_percent,rating_category,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,number_of_taste
Madagascar,76.0,1,3.75,3,1,0,0,0,1,0,cocoa,blackberry,full body,no taste,3
Dominican republic,76.0,1,3.5,3,1,0,0,0,1,0,cocoa,vegetal,savory,no taste,3
Tanzania,76.0,1,3.25,3,1,0,0,0,1,0,rich cocoa,fatty,bready,no taste,3
Peru,63.0,1,3.75,4,1,0,1,0,1,0,fruity,melon,roasty,no taste,3
Bolivia,70.0,1,3.5,4,1,0,1,0,1,0,vegetal,nutty,no taste,no taste,2
Venezuela,70.0,1,4.0,4,1,0,1,0,1,0,oily,nut,caramel,raspberry,4
Peru,63.0,1,4.0,3,1,0,0,0,1,0,sweet,cocoa,tangerine,no taste,3
Ecuador,70.0,1,3.75,4,1,0,1,0,1,0,sandy,nutty,cocoa,fig,4
Peru,70.0,1,3.5,4,1,0,1,0,1,0,cocoa,sour,intense tangerine,no taste,3
Brazil,70.0,1,3.25,4,1,0,1,0,1,0,mild tobacco,no taste,no taste,no taste,1
Papua new guinea,70.0,1,3.25,4,1,0,1,0,1,0,mild fruit,strong smoke,no taste,no taste,2
Peru,70.0,1,3.25,4,1,0,1,0,1,0,green,nutty,cocoa,no taste,3
Madagascar,70.0,0,3.0,4,1,0,1,0,1,0,sticky,red fruit,sour,no taste,3
Burma,70.0,0,3.0,4,1,0,1,0,1,0,sticky,smokey,grass,no taste,3
Panama,70.0,0,2.75,4,1,0,1,0,1,0,brief fruit note,earthy,nutty,no taste,3
Colombia,70.0,0,2.75,4,1,0,1,0,1,0,burnt rubber,alkalyzed notes,no taste,no taste,2
Peru,70.0,1,4.0,4,1,0,1,0,1,0,delicate,hazelnut,brownie,no taste,3
Venezuela,70.0,1,3.75,4,1,0,1,0,1,0,astringent,nutty,chocolatey,no taste,3
Cuba,70.0,1,3.5,4,1,0,1,0,1,0,sliglty dry,papaya,no taste,no taste,2
Venezuela,70.0,1,3.5,4,1,0,1,0,1,0,nutty,mild choco,roasty,no taste,3
Venezuela,70.0,0,2.75,4,1,0,1,0,1,0,harsh,leather,earthy,no taste,3
Togo,70.0,1,3.5,4,1,0,1,0,1,0,mild profile,chocolaty,spice,no taste,3
Peru,70.0,1,3.5,4,1,0,1,0,1,0,grainy texture,cocoa,sweet,no taste,3
Togo,70.0,0,3.0,4,1,0,1,0,1,0,roasty,acidic,nutty,no taste,3
Togo,70.0,0,2.75,4,1,0,1,0,1,0,burnt wood,earthy,choco,no taste,3
Sao tome,63.0,1,3.75,4,1,0,1,0,1,0,sweet,chocolatey,vegetal,no taste,3
Peru,63.0,1,3.75,4,1,0,1,0,1,0,sweet,dairy,spice,cocoa,4
Venezuela,70.0,1,3.5,4,1,0,1,0,1,0,alluring aroma,powdery,nutty,no taste,3
Peru,70.0,1,3.75,2,0,0,0,0,1,0,yellow fruit,no taste,no taste,no taste,1
